timestamp,elbow_angle,wrist_angle,shoulder_angle,hand_x,hand_y,hand_z,wrist_x,wrist_y,wrist_z,elbow_x,elbow_y,elbow_z,shoulder_x,shoulder_y,shoulder_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z
2025-03-04 16:43:27.658,102.24563873160491,0,81.57778594303355,0,0,0,858,496,-0.05353888124227524,668,721,-0.3531922698020935,278,670,-0.35073021054267883,0,0,0,0,0,0
2025-03-04 16:43:27.729,102.61192724094744,0,82.33793064617261,0,0,0,859,493,-0.048600029200315475,672,719,-0.3473639190196991,278,670,-0.35169559717178345,0,0,0,0,0,0
2025-03-04 16:43:27.793,102.42742466850275,0,82.95498105192962,0,0,0,863,486,-0.03639146313071251,678,718,-0.34214383363723755,278,671,-0.3441762328147888,0,0,0,0,0,0
2025-03-04 16:43:27.860,102.79992184902062,0,82.79266401027708,0,0,0,862,493,-0.03331686928868294,677,719,-0.33133694529533386,278,671,-0.3429187536239624,0,0,0,0,0,0
2025-03-04 16:43:27.929,103.26522925710871,0,82.51107589338284,0,0,0,861,502,-0.03419352322816849,676,720,-0.3312491178512573,278,671,-0.3451516926288605,0,0,0,0,0,0
2025-03-04 16:43:27.995,103.61986179087516,0,82.12767921190873,0,0,0,858,511,0.011542175896465778,673,721,-0.3076401352882385,278,671,-0.3390630781650543,0,0,0,0,0,0
2025-03-04 16:43:28.061,103.6125449628143,0,81.16998725986818,0,0,0,855,517,0.03148900717496872,667,722,-0.30416929721832275,277,669,-0.3395242989063263,0,0,0,0,0,0
2025-03-04 16:43:28.129,103.28496191072355,0,81.12670805778923,0,0,0,855,517,0.07487881183624268,667,722,-0.27559956908226013,281,668,-0.3319494128227234,0,0,0,0,0,0
2025-03-04 16:43:28.193,102.27944651864695,0,81.374224587507,0,0,0,859,503,0.06861155480146408,669,721,-0.27277252078056335,284,668,-0.3157607913017273,0,0,0,0,0,0
2025-03-04 16:43:28.261,101.86958194001984,0,81.54576100094783,0,0,0,861,498,0.060610003769397736,670,721,-0.2727888822555542,285,668,-0.31303659081459045,0,0,0,0,0,0
2025-03-04 16:43:28.328,101.89645928837358,0,82.02637343599083,0,0,0,863,492,0.05844675004482269,673,720,-0.2620519995689392,288,668,-0.3083387315273285,0,0,0,0,0,0
2025-03-04 16:43:28.393,102.1010405560557,0,82.56152176020002,0,0,0,866,488,0.07844028621912003,676,718,-0.2586520314216614,290,669,-0.31155601143836975,0,0,0,0,0,0
2025-03-04 16:43:28.461,102.14377821969182,0,82.42330991327046,0,0,0,866,488,0.009390834718942642,676,718,-0.25895190238952637,290,669,-0.3092879354953766,0,0,0,0,0,0
2025-03-04 16:43:28.534,102.11447104190486,0,82.48686622766833,0,0,0,866,488,0.014475706964731216,677,718,-0.2636277675628662,291,669,-0.31092020869255066,0,0,0,0,0,0
2025-03-04 16:43:28.596,102.44077358494647,0,82.38884095295528,0,0,0,865,493,-0.016305988654494286,677,718,-0.2809377908706665,292,669,-0.31160804629325867,0,0,0,0,0,0
2025-03-04 16:43:28.659,102.77325066817632,0,82.22068266955722,0,0,0,863,499,-0.006650923285633326,675,718,-0.28586357831954956,292,669,-0.3156738877296448,0,0,0,0,0,0
2025-03-04 16:43:28.735,102.77751921989139,0,82.25896298378225,0,0,0,863,496,-0.12242933362722397,675,718,-0.3701854348182678,286,669,-0.3529035151004791,0,0,0,0,0,0
2025-03-04 16:43:28.800,102.8001503212877,0,82.40909470313761,0,0,0,863,495,-0.10938719660043716,675,718,-0.3740730285644531,284,669,-0.36447879672050476,0,0,0,0,0,0
2025-03-04 16:43:28.866,102.67023943660391,0,82.43738981344197,0,0,0,863,491,-0.15756691992282867,674,718,-0.39171355962753296,282,669,-0.3675716519355774,0,0,0,0,0,0
2025-03-04 16:43:28.936,102.28786623165452,0,82.51214457688897,0,0,0,864,487,-0.13879269361495972,673,718,-0.3889690041542053,281,668,-0.3682366609573364,0,0,0,0,0,0
2025-03-04 16:43:28.995,101.7190936472322,0,82.44415877013117,0,0,0,865,480,-0.12779423594474792,673,718,-0.3765574097633362,281,668,-0.3639378249645233,0,0,0,0,0,0
2025-03-04 16:43:29.069,101.56480461536613,0,82.4159709691867,0,0,0,866,480,-0.11246586591005325,672,718,-0.3694135546684265,281,667,-0.35933536291122437,0,0,0,0,0,0
2025-03-04 16:43:29.136,101.17604423570252,0,82.04333810726061,0,0,0,866,480,-0.05362856760621071,672,718,-0.3367944061756134,282,666,-0.35039716958999634,0,0,0,0,0,0
2025-03-04 16:43:29.200,100.67199151235454,0,81.60278343755382,0,0,0,867,481,-0.04647858813405037,673,718,-0.3147849142551422,288,665,-0.3301093876361847,0,0,0,0,0,0
2025-03-04 16:43:29.264,100.68242820748128,0,81.58323229087276,0,0,0,867,482,-0.020659055560827255,673,718,-0.31844186782836914,292,665,-0.3413260281085968,0,0,0,0,0,0
2025-03-04 16:43:29.337,100.72863969643988,0,81.68459063746643,0,0,0,867,482,0.04455704987049103,673,718,-0.2899271845817566,293,665,-0.3393927812576294,0,0,0,0,0,0
2025-03-04 16:43:29.395,100.46203273045482,0,81.47790791387634,0,0,0,870,481,0.02437693253159523,674,719,-0.2811949551105499,293,664,-0.32798704504966736,0,0,0,0,0,0
2025-03-04 16:43:29.468,100.23412028947614,0,81.2329173978231,0,0,0,871,480,-0.03141790255904198,674,720,-0.28978878259658813,293,664,-0.32322120666503906,0,0,0,0,0,0
2025-03-04 16:43:29.536,100.16224239935116,0,81.21687897632243,0,0,0,871,481,-0.0244593545794487,674,720,-0.29471391439437866,295,664,-0.3262329697608948,0,0,0,0,0,0
2025-03-04 16:43:29.600,99.98122442118611,0,81.31521383496154,0,0,0,871,479,-0.007297164760529995,674,720,-0.2973235547542572,297,664,-0.32872989773750305,0,0,0,0,0,0
2025-03-04 16:43:29.667,99.96439285061507,0,81.72012062109356,0,0,0,873,475,-0.10311862826347351,678,719,-0.3339380621910095,293,664,-0.3325726091861725,0,0,0,0,0,0
2025-03-04 16:43:29.735,100.35078739242077,0,81.91991255240325,0,0,0,873,474,-0.15006813406944275,679,719,-0.3646746575832367,289,665,-0.3446800112724304,0,0,0,0,0,0
2025-03-04 16:43:29.794,100.90129862956636,0,82.42418472402764,0,0,0,874,474,-0.058687832206487656,680,717,-0.358104407787323,289,665,-0.34770044684410095,0,0,0,0,0,0
2025-03-04 16:43:29.872,101.27667051760005,0,82.6933595077381,0,0,0,874,475,-0.14643007516860962,680,717,-0.3699049949645996,286,666,-0.3517422080039978,0,0,0,0,0,0
2025-03-04 16:43:29.930,101.47246738246724,0,82.84878898859742,0,0,0,874,475,-0.13097980618476868,680,717,-0.3610805869102478,286,666,-0.3542344272136688,0,0,0,0,0,0
2025-03-04 16:43:30.003,101.57412615243936,0,82.90235800708189,0,0,0,874,475,-0.12791243195533752,680,717,-0.36204293370246887,286,667,-0.35369542241096497,0,0,0,0,0,0
2025-03-04 16:43:30.067,101.84138327039537,0,82.91467555942913,0,0,0,874,476,-0.1454639583826065,679,717,-0.37287378311157227,284,667,-0.3553362488746643,0,0,0,0,0,0
2025-03-04 16:43:30.133,101.8388067182747,0,82.8897911307563,0,0,0,874,476,-0.13033786416053772,679,717,-0.3711635172367096,284,667,-0.3546966016292572,0,0,0,0,0,0
2025-03-04 16:43:30.201,101.78718280016658,0,82.92867854272248,0,0,0,874,475,-0.14782272279262543,679,717,-0.3696068823337555,284,667,-0.35468804836273193,0,0,0,0,0,0
