timestamp,elbow_angle,wrist_angle,shoulder_angle,hand_x,hand_y,hand_z,wrist_x,wrist_y,wrist_z,elbow_x,elbow_y,elbow_z,shoulder_x,shoulder_y,shoulder_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z
2025-03-04 16:44:38.501,72.90959066968507,0,60.68511642022099,0,0,0,707,602,0.10237514972686768,583,821,-0.23616822063922882,213,677,-0.29434341192245483,0,0,0,0,0,0
2025-03-04 16:44:38.567,73.30565652648166,0,60.840689809489724,0,0,0,707,603,0.09925250709056854,583,819,-0.2392829954624176,213,675,-0.2955329120159149,0,0,0,0,0,0
2025-03-04 16:44:38.632,73.44447295253818,0,60.87505411466803,0,0,0,708,603,0.06540591269731522,583,819,-0.26074203848838806,213,676,-0.3107251226902008,0,0,0,0,0,0
2025-03-04 16:44:38.698,73.56110397156522,0,60.69106391114845,0,0,0,708,603,0.11465516686439514,583,818,-0.23490633070468903,217,676,-0.3008304834365845,0,0,0,0,0,0
2025-03-04 16:44:38.771,74.03723451349724,0,60.83271505376923,0,0,0,709,602,0.13278324902057648,584,817,-0.22896544635295868,218,677,-0.2986803650856018,0,0,0,0,0,0
2025-03-04 16:44:38.828,74.02735273443757,0,60.768139326489035,0,0,0,710,601,0.12884774804115295,584,816,-0.22585098445415497,218,676,-0.28917020559310913,0,0,0,0,0,0
2025-03-04 16:44:38.900,74.06614257106074,0,60.753379035637344,0,0,0,711,601,0.12567171454429626,585,816,-0.2152465432882309,218,676,-0.279349148273468,0,0,0,0,0,0
2025-03-04 16:44:38.967,74.01150521411262,0,60.897103130525444,0,0,0,712,600,0.12369675189256668,584,816,-0.2182111144065857,218,676,-0.2812269926071167,0,0,0,0,0,0
2025-03-04 16:44:39.035,74.10336933286447,0,61.06707179943391,0,0,0,712,601,0.12254951894283295,586,816,-0.2197103649377823,218,675,-0.2827450633049011,0,0,0,0,0,0
2025-03-04 16:44:39.100,74.666401932192,0,61.437567324067565,0,0,0,713,602,0.12199577689170837,586,814,-0.22794942557811737,217,675,-0.28604456782341003,0,0,0,0,0,0
2025-03-04 16:44:39.169,75.36647044208794,0,61.73405291775061,0,0,0,713,603,0.11790992319583893,585,813,-0.24760626256465912,215,675,-0.29946285486221313,0,0,0,0,0,0
2025-03-04 16:44:39.230,75.7377867915837,0,61.561253949313084,0,0,0,714,603,0.06205811724066734,581,813,-0.29103413224220276,210,673,-0.31388166546821594,0,0,0,0,0,0
2025-03-04 16:44:39.301,76.3975168520395,0,61.27530038723676,0,0,0,714,603,0.07283107936382294,575,812,-0.28002604842185974,207,672,-0.31278011202812195,0,0,0,0,0,0
2025-03-04 16:44:39.368,77.26765261245964,0,60.96944430080046,0,0,0,714,603,0.007777999620884657,570,812,-0.3261581063270569,197,670,-0.32589519023895264,0,0,0,0,0,0
2025-03-04 16:44:39.428,77.22665420063996,0,60.745444756269556,0,0,0,715,604,0.06562644988298416,572,812,-0.29738372564315796,201,671,-0.3251801133155823,0,0,0,0,0,0
2025-03-04 16:44:39.496,77.65006954061027,0,61.4034485977109,0,0,0,717,603,0.07945521175861359,576,810,-0.2936810553073883,202,672,-0.3229469060897827,0,0,0,0,0,0
2025-03-04 16:44:39.572,77.1593477621293,0,61.46660866947824,0,0,0,719,599,0.11397158354520798,579,810,-0.26736417412757874,205,672,-0.31987935304641724,0,0,0,0,0,0
2025-03-04 16:44:39.629,76.18559084329571,0,61.731209541417414,0,0,0,722,595,0.12561778724193573,588,811,-0.25498032569885254,210,673,-0.31908974051475525,0,0,0,0,0,0
2025-03-04 16:44:39.701,75.1223243716282,0,62.1493423994803,0,0,0,723,592,0.17308063805103302,596,811,-0.23591624200344086,217,673,-0.31724444031715393,0,0,0,0,0,0
2025-03-04 16:44:39.772,74.84404565709934,0,62.1718397683051,0,0,0,724,592,0.1586078703403473,599,811,-0.2455277144908905,218,673,-0.32354679703712463,0,0,0,0,0,0
2025-03-04 16:44:39.829,74.48045782914407,0,61.975691138477124,0,0,0,724,592,0.14877817034721375,601,811,-0.24794763326644897,222,673,-0.3311755359172821,0,0,0,0,0,0
2025-03-04 16:44:39.901,74.34832519634932,0,61.72988382793938,0,0,0,726,590,0.14478331804275513,601,812,-0.24428193271160126,223,672,-0.3302784264087677,0,0,0,0,0,0
2025-03-04 16:44:39.969,74.33452452704547,0,61.688825431990665,0,0,0,726,589,0.13248248398303986,601,811,-0.24703072011470795,223,672,-0.32823625206947327,0,0,0,0,0,0
2025-03-04 16:44:40.034,74.37847617188669,0,61.514394379201214,0,0,0,726,589,0.13472837209701538,601,811,-0.24376633763313293,222,672,-0.32232657074928284,0,0,0,0,0,0
2025-03-04 16:44:40.099,74.44217969319813,0,61.46586319743918,0,0,0,726,589,0.1265859454870224,600,811,-0.24260948598384857,222,672,-0.31049397587776184,0,0,0,0,0,0
2025-03-04 16:44:40.170,74.46161993756623,0,61.462261152503565,0,0,0,726,588,0.1110980212688446,600,810,-0.244070366024971,222,671,-0.3090527653694153,0,0,0,0,0,0
2025-03-04 16:44:40.231,74.52121746819068,0,61.46520425982853,0,0,0,726,588,0.09977439045906067,600,810,-0.2526133954524994,222,671,-0.3090726137161255,0,0,0,0,0,0
2025-03-04 16:44:40.301,74.52753471916849,0,61.46054032537627,0,0,0,726,588,0.1493229866027832,600,810,-0.24209356307983398,222,671,-0.3085799217224121,0,0,0,0,0,0
