Timestamp,Power,Ch.0,Ch.1,Ch.2,Ch.3,Ch.4,Ch.5,Ch.6,Ch.7,Ch.8,Ch.9,Ch.10,Ch.11,Ch.12,Ch.13
2025-03-04 16:38:59,0,155,114,141,127,121,7,128,34,11,15,130,39,127,11
2025-03-04 16:38:59,0,157,113,144,124,118,9,117,36,12,12,128,37,127,12
2025-03-04 16:38:59,0,155,113,137,129,124,7,127,33,11,13,132,38,123,11
2025-03-04 16:38:59,0,152,111,146,126,118,8,128,37,13,11,126,37,126,12
2025-03-04 16:38:59,0,155,112,138,130,124,10,127,36,11,12,132,40,122,11
2025-03-04 16:38:59,0,151,117,146,125,118,8,128,37,13,12,126,40,126,11
2025-03-04 16:39:00,0,154,111,139,134,124,7,126,38,11,11,127,37,126,11
2025-03-04 16:39:00,0,150,116,143,126,121,9,126,36,12,14,125,35,124,11
2025-03-04 16:39:00,0,158,112,138,134,121,8,131,38,11,12,130,36,127,11
2025-03-04 16:39:00,0,152,113,143,127,118,8,126,37,13,13,124,35,125,11
2025-03-04 16:39:00,0,157,114,137,128,120,12,130,37,11,11,131,38,125,11
2025-03-04 16:39:00,0,152,115,144,129,116,8,127,36,14,15,126,33,124,11
2025-03-04 16:39:00,0,161,113,142,130,118,10,128,38,12,13,129,38,126,11
2025-03-04 16:39:00,0,155,113,141,130,119,8,128,38,12,13,129,36,126,11
2025-03-04 16:39:00,0,154,113,141,129,119,9,128,40,12,11,129,36,126,11
2025-03-04 16:39:00,0,155,114,141,131,119,9,129,37,12,13,128,36,126,11
2025-03-04 16:39:00,0,154,114,141,131,119,8,129,39,12,11,128,36,126,11
2025-03-04 16:39:00,0,155,114,141,130,119,10,130,39,12,12,128,35,126,11
2025-03-04 16:39:00,0,155,114,141,130,119,8,131,37,12,12,128,36,126,11
2025-03-04 16:39:00,0,155,114,141,130,119,8,131,38,12,12,128,36,126,11
2025-03-04 16:39:00,0,155,115,141,129,119,7,131,38,12,12,128,36,126,11
2025-03-04 16:39:00,0,151,113,138,129,120,9,132,40,11,13,128,37,126,11
2025-03-04 16:39:00,0,155,115,141,130,119,9,132,39,12,11,128,36,126,11
2025-03-04 16:39:00,0,154,113,140,130,119,7,132,38,11,12,128,36,126,11
2025-03-04 16:39:00,0,145,114,141,130,120,7,131,39,12,12,128,36,126,11
2025-03-04 16:39:00,0,156,116,141,129,119,8,132,37,11,12,128,36,126,11
2025-03-04 16:39:00,0,155,112,140,129,119,8,132,39,11,10,128,36,126,11
2025-03-04 16:39:00,0,154,116,139,130,120,9,132,39,11,11,128,36,126,11
2025-03-04 16:39:01,0,155,113,139,130,120,8,132,39,11,11,128,36,126,11
2025-03-04 16:39:01,0,153,112,139,129,123,9,131,37,11,11,128,36,124,11
2025-03-04 16:39:01,0,159,115,142,129,119,8,131,39,11,13,128,36,126,11
2025-03-04 16:39:01,0,155,114,138,128,122,9,131,38,11,11,128,36,126,11
2025-03-04 16:39:01,0,155,114,139,129,122,9,131,38,11,12,128,36,126,11
2025-03-04 16:39:01,0,155,112,139,129,123,9,131,39,11,11,128,37,126,11
2025-03-04 16:39:01,0,155,114,139,128,123,7,131,37,11,14,128,37,126,11
2025-03-04 16:39:01,0,155,114,138,128,123,11,131,38,11,13,128,35,126,11
2025-03-04 16:39:01,0,154,114,139,127,123,9,131,37,11,12,128,35,125,12
2025-03-04 16:39:01,0,154,115,138,129,123,9,131,36,11,12,128,37,125,12
2025-03-04 16:39:01,0,154,114,139,128,123,7,131,37,11,12,128,37,124,12
2025-03-04 16:39:01,0,153,114,139,126,123,9,131,40,11,12,128,37,124,11
2025-03-04 16:39:01,0,153,112,140,129,123,9,130,37,11,11,128,36,124,11
2025-03-04 16:39:01,0,153,113,139,129,123,9,130,37,11,12,128,37,124,12
2025-03-04 16:39:01,0,153,113,141,128,123,9,130,39,11,11,128,36,124,12
2025-03-04 16:39:01,0,152,112,141,127,123,10,130,37,11,12,128,37,124,12
2025-03-04 16:39:01,0,153,113,142,129,123,8,130,37,11,12,128,36,124,12
2025-03-04 16:39:01,0,152,112,142,128,123,8,130,38,11,12,128,36,124,11
2025-03-04 16:39:01,0,153,114,143,128,123,10,130,37,11,11,128,35,124,12
2025-03-04 16:39:01,0,152,113,143,127,123,9,130,38,11,14,128,37,124,11
2025-03-04 16:39:01,0,153,113,143,128,123,8,130,36,11,12,127,35,124,11
2025-03-04 16:39:01,0,153,111,143,127,122,8,130,36,11,11,127,36,124,11
2025-03-04 16:39:02,0,153,113,143,127,122,8,130,37,11,12,127,35,124,11
2025-03-04 16:39:02,0,152,114,143,128,122,8,130,39,11,14,126,35,124,11
2025-03-04 16:39:02,0,153,114,143,129,122,9,130,37,11,13,126,36,125,12
2025-03-04 16:39:02,0,152,113,143,130,122,9,130,38,11,12,126,35,125,12
2025-03-04 16:39:02,0,153,114,143,128,122,9,130,38,11,13,126,36,125,11
2025-03-04 16:39:02,0,154,112,142,128,122,7,130,37,11,14,126,35,125,12
2025-03-04 16:39:02,0,154,114,143,127,121,9,130,37,11,13,126,34,125,11
2025-03-04 16:39:02,0,155,113,142,128,121,9,130,38,11,12,126,34,125,11
2025-03-04 16:39:02,0,156,115,143,127,121,10,130,35,11,12,126,37,125,11
2025-03-04 16:39:02,0,156,114,143,128,121,8,130,37,11,14,126,36,125,11
2025-03-04 16:39:02,0,156,115,142,128,121,9,130,37,11,13,126,36,125,11
2025-03-04 16:39:02,0,156,115,143,127,121,8,129,36,11,13,126,36,126,11
2025-03-04 16:39:02,0,157,116,142,127,121,8,130,38,11,13,126,37,126,11
2025-03-04 16:39:02,0,157,115,142,128,121,7,130,36,11,12,126,37,127,11
2025-03-04 16:39:02,0,157,116,142,129,121,9,130,38,11,14,126,36,127,11
2025-03-04 16:39:02,0,157,118,142,129,121,7,129,38,10,13,126,37,128,11
2025-03-04 16:39:02,0,157,116,142,128,121,8,130,35,10,13,126,38,128,11
2025-03-04 16:39:02,0,157,117,141,126,121,7,130,37,10,12,127,37,128,11
2025-03-04 16:39:02,0,157,117,141,128,121,8,130,36,10,13,127,39,128,11
2025-03-04 16:39:02,0,156,115,141,126,121,9,130,38,10,13,127,38,128,12
2025-03-04 16:39:02,0,156,118,141,126,121,9,130,38,10,13,127,38,129,11
2025-03-04 16:39:02,0,156,117,141,128,121,7,130,37,10,12,127,39,129,11
2025-03-04 16:39:02,0,156,115,141,127,121,10,130,37,11,12,128,37,128,11
2025-03-04 16:39:03,0,156,116,141,126,121,8,130,37,10,13,127,37,128,11
2025-03-04 16:39:03,0,156,115,141,125,121,9,130,38,10,12,127,38,128,12
2025-03-04 16:39:03,0,156,113,141,117,121,8,130,36,10,12,128,38,128,11
2025-03-04 16:39:03,0,156,116,141,126,121,7,129,36,10,13,128,39,132,11
2025-03-04 16:39:03,0,158,113,138,125,112,11,129,37,12,12,125,35,130,12
2025-03-04 16:39:03,0,155,114,138,126,124,8,127,35,10,11,131,40,123,11
2025-03-04 16:39:03,0,153,111,146,124,118,10,128,37,12,12,126,35,128,12
2025-03-04 16:39:03,0,153,111,140,125,123,8,125,36,10,11,134,38,123,11
2025-03-04 16:39:03,0,151,112,137,125,122,9,135,40,10,12,127,34,131,12
2025-03-04 16:39:03,0,150,114,139,129,125,5,133,36,9,11,132,38,126,11
2025-03-04 16:39:03,0,151,115,143,123,118,8,126,36,11,13,126,35,127,11
