Timestamp,Power,Ch.0,Ch.1,Ch.2,Ch.3,Ch.4,Ch.5,Ch.6,Ch.7,Ch.8,Ch.9,Ch.10,Ch.11,Ch.12,Ch.13
2025-03-04 16:38:19,0,147,113,138,126,123,9,134,37,10,12,124,36,131,12
2025-03-04 16:38:19,0,144,114,137,127,124,9,132,37,11,12,128,35,124,12
2025-03-04 16:38:19,0,144,114,140,126,124,9,132,38,11,11,128,36,124,12
2025-03-04 16:38:19,0,144,114,138,127,125,8,132,37,11,11,128,36,124,11
2025-03-04 16:38:19,0,144,113,138,127,125,9,132,37,11,12,128,37,124,12
2025-03-04 16:38:19,0,144,111,139,126,125,8,132,36,11,13,128,35,124,11
2025-03-04 16:38:19,0,143,114,141,127,124,8,131,37,11,13,128,37,124,12
2025-03-04 16:38:19,0,144,112,142,128,124,9,131,37,11,13,128,36,124,11
2025-03-04 16:38:19,0,144,113,142,125,124,9,131,38,11,12,128,36,124,11
2025-03-04 16:38:19,0,144,111,142,127,124,9,131,38,11,13,127,35,124,11
2025-03-04 16:38:19,0,144,114,143,126,124,7,131,36,11,13,127,35,124,11
2025-03-04 16:38:19,0,144,113,143,125,124,9,131,37,11,14,127,35,124,11
2025-03-04 16:38:19,0,144,113,143,127,124,9,131,37,11,13,127,36,124,12
2025-03-04 16:38:19,0,144,114,143,127,123,8,131,38,11,13,126,35,125,11
2025-03-04 16:38:19,0,144,113,143,127,123,8,131,37,11,12,126,34,125,11
2025-03-04 16:38:19,0,146,114,143,128,123,8,131,36,11,12,126,36,126,12
2025-03-04 16:38:19,0,146,114,143,127,123,7,131,38,11,13,126,35,126,11
2025-03-04 16:38:20,0,147,114,143,129,123,9,131,37,11,14,126,35,127,11
2025-03-04 16:38:20,0,147,115,143,126,123,7,131,37,11,13,126,36,127,12
2025-03-04 16:38:20,0,147,116,143,128,123,9,131,38,11,13,126,36,127,12
2025-03-04 16:38:20,0,147,115,143,129,123,7,131,37,11,12,126,36,128,11
2025-03-04 16:38:20,0,147,115,143,126,123,8,131,38,11,13,126,35,128,11
2025-03-04 16:38:20,0,148,116,143,128,123,10,131,37,11,14,126,37,128,12
2025-03-04 16:38:20,0,148,115,142,128,123,7,131,38,11,12,126,35,128,11
2025-03-04 16:38:20,0,148,117,142,129,123,7,131,39,10,13,126,37,128,11
2025-03-04 16:38:20,0,148,118,142,127,123,7,131,38,10,13,126,37,128,11
2025-03-04 16:38:20,0,146,113,143,127,123,9,131,37,11,11,126,35,126,11
2025-03-04 16:38:20,0,148,115,142,128,123,8,131,37,11,13,126,35,128,11
2025-03-04 16:38:20,0,148,116,142,126,123,10,131,37,11,12,126,37,128,11
2025-03-04 16:38:20,0,149,117,142,129,123,8,131,38,10,12,126,36,128,11
2025-03-04 16:38:20,0,148,117,141,125,123,8,131,38,10,12,128,38,128,11
2025-03-04 16:38:20,0,148,116,141,125,123,8,131,36,10,12,129,40,128,11
2025-03-04 16:38:20,0,148,115,141,126,123,7,131,38,10,14,129,35,128,11
2025-03-04 16:38:20,0,148,117,141,125,123,8,132,38,10,12,129,37,127,11
2025-03-04 16:38:20,0,147,117,141,125,123,9,132,37,10,11,130,38,127,11
2025-03-04 16:38:20,0,147,115,141,124,123,8,131,37,10,13,130,37,127,11
2025-03-04 16:38:20,0,147,116,141,126,123,7,131,38,10,13,130,37,127,11
2025-03-04 16:38:20,0,147,115,141,124,123,9,130,37,10,11,130,38,127,11
2025-03-04 16:38:20,0,147,115,141,125,123,8,130,38,10,11,130,37,127,11
2025-03-04 16:38:21,0,147,117,141,127,123,8,130,35,11,12,130,37,127,11
2025-03-04 16:38:21,0,147,116,141,123,123,9,130,36,11,12,130,38,127,11
2025-03-04 16:38:21,0,147,116,141,125,123,9,129,37,11,14,130,38,127,11
2025-03-04 16:38:21,0,147,114,141,125,123,8,130,36,11,12,131,36,127,11
2025-03-04 16:38:21,0,147,116,141,127,123,8,129,37,11,12,130,37,126,11
2025-03-04 16:38:21,0,146,115,141,126,123,9,129,37,11,13,130,36,126,11
2025-03-04 16:38:21,0,146,115,141,127,123,7,129,37,12,13,130,37,126,11
2025-03-04 16:38:21,0,146,115,141,125,123,9,129,37,12,12,130,35,126,11
2025-03-04 16:38:21,0,146,115,141,128,123,8,129,38,12,13,130,37,126,11
2025-03-04 16:38:21,0,146,117,141,127,123,8,129,36,12,11,130,36,126,11
2025-03-04 16:38:21,0,146,113,141,127,123,10,129,38,12,13,130,35,126,11
2025-03-04 16:38:21,0,146,115,141,128,123,8,129,37,12,12,129,38,126,11
2025-03-04 16:38:21,0,146,116,141,129,122,8,129,39,12,13,129,37,126,11
2025-03-04 16:38:21,0,146,115,141,130,122,7,129,37,12,13,129,36,126,11
2025-03-04 16:38:21,0,146,115,141,129,122,8,129,38,12,11,129,36,126,11
2025-03-04 16:38:21,0,146,114,141,130,121,8,130,38,12,11,129,35,126,11
2025-03-04 16:38:21,0,146,116,141,130,122,8,130,39,12,11,129,36,126,11
2025-03-04 16:38:21,0,146,114,141,130,121,9,130,37,12,11,129,35,126,11
2025-03-04 16:38:21,0,146,114,141,130,121,8,130,39,12,12,129,37,126,11
2025-03-04 16:38:21,0,146,115,141,131,121,8,132,39,12,13,128,38,126,11
2025-03-04 16:38:21,0,146,116,141,130,121,9,132,38,12,11,128,36,126,11
2025-03-04 16:38:21,0,146,113,141,130,121,8,133,40,12,12,128,33,126,11
2025-03-04 16:38:22,0,146,116,141,128,121,8,133,37,12,13,128,36,126,11
2025-03-04 16:38:22,0,146,116,141,128,121,8,133,40,12,12,128,36,126,11
2025-03-04 16:38:22,0,146,113,141,129,121,9,133,38,12,11,128,37,126,11
2025-03-04 16:38:22,0,146,115,141,130,121,8,133,38,12,12,128,37,126,11
2025-03-04 16:38:22,0,146,115,140,127,121,8,133,39,11,11,132,33,127,11
2025-03-04 16:38:22,0,143,113,130,131,122,8,138,42,10,11,129,35,127,11
2025-03-04 16:38:22,0,142,117,141,125,123,10,132,35,12,12,126,35,124,11
2025-03-04 16:38:22,0,150,114,136,132,122,9,134,36,11,11,130,37,125,11
2025-03-04 16:38:22,0,142,115,141,127,123,7,132,36,12,13,125,36,124,11
2025-03-04 16:38:22,0,151,112,136,128,123,9,137,41,10,11,128,34,127,12
2025-03-04 16:38:22,0,146,116,143,127,123,7,129,38,13,11,124,35,126,11
2025-03-04 16:38:22,0,149,114,134,129,123,6,138,41,10,12,128,36,130,11
2025-03-04 16:38:22,0,148,111,138,130,119,8,137,43,10,12,128,36,131,11
2025-03-04 16:38:22,0,144,118,137,128,125,6,129,37,11,12,133,40,123,11
2025-03-04 16:38:22,0,144,115,144,126,120,9,133,35,13,13,125,39,126,11
2025-03-04 16:38:22,0,151,115,136,126,125,10,134,38,12,11,133,35,127,11
2025-03-04 16:38:22,0,145,116,138,128,125,9,132,38,11,12,128,36,126,11
2025-03-04 16:38:22,0,146,114,139,127,125,9,132,38,11,12,128,36,126,11
2025-03-04 16:38:22,0,145,115,139,127,125,9,132,38,11,14,128,34,125,12
2025-03-04 16:38:22,0,145,114,140,130,125,12,132,37,11,11,128,37,124,12
2025-03-04 16:38:22,0,144,113,140,127,125,7,131,37,11,10,128,36,124,12
2025-03-04 16:38:22,0,144,114,140,126,125,9,131,38,11,11,128,36,124,11
2025-03-04 16:38:23,0,144,113,141,128,125,8,131,37,11,15,129,36,124,12
2025-03-04 16:38:23,0,144,113,142,128,125,10,131,37,11,13,129,36,124,12
2025-03-04 16:38:23,0,144,113,142,126,125,9,131,37,11,13,129,34,124,12
2025-03-04 16:38:23,0,144,113,143,128,124,9,131,36,11,14,128,36,124,12
2025-03-04 16:38:23,0,144,113,142,127,125,10,131,40,11,12,128,34,124,11
2025-03-04 16:38:23,0,144,113,143,127,124,9,131,38,11,14,128,36,124,12
2025-03-04 16:38:23,0,144,114,143,127,124,8,131,38,11,13,127,35,124,12
2025-03-04 16:38:23,0,144,113,143,128,124,10,131,38,11,14,127,33,124,12
2025-03-04 16:38:23,0,144,114,143,127,124,10,131,37,11,13,127,37,124,12
2025-03-04 16:38:23,0,145,113,143,127,124,7,131,37,11,14,126,35,124,12
2025-03-04 16:38:23,0,145,114,143,130,124,8,131,38,11,13,126,35,124,11
2025-03-04 16:38:23,0,145,115,144,129,124,10,131,37,11,13,126,33,125,12
2025-03-04 16:38:23,0,146,115,144,129,123,7,131,35,11,14,126,37,126,12
2025-03-04 16:38:23,0,146,115,144,129,123,7,131,37,10,13,126,35,127,12
2025-03-04 16:38:23,0,148,115,144,128,123,9,131,37,10,11,126,36,128,12
2025-03-04 16:38:23,0,147,115,146,129,123,8,130,37,10,11,126,36,128,11
2025-03-04 16:38:23,0,147,112,146,130,123,8,130,37,10,14,126,36,128,11
2025-03-04 16:38:23,0,147,114,147,129,122,8,130,38,10,12,126,36,128,11
